t,j,m,price
2011/2012,75124000,USA,0.452349
2011/2012,75125000,USA,0.360272
2011/2012,75127000,USA,0.472038
2011/2012,75127750,USA,1.23918
2011/2012,75128010,USA,0.521281
2011/2012,75132000,USA,0.194569
2011/2012,75140500,USA,0.623481
2011/2012,75140510,USA,0.662507
2011/2012,75140990,USA,0.391715
2011/2012,75141000,USA,0.576781
2011/2012,75141005,USA,0.578608
2011/2012,75141020,USA,0.547616
2011/2012,75141040,USA,0.524103
2011/2012,75141200,USA,0.550546
2011/2012,75142500,USA,0.481353
2011/2012,75142500,USA,0.49049
2011/2012,75143000,USA,0.847164
2011/2012,75143050,USA,0.908855
2011/2012,75143200,USA,0.875921
2011/2012,75143300,USA,0.761969
2011/2012,75200100,USA,0.345998
2011/2012,75200110,USA,0.344847
2011/2012,75200700,USA,0.194197
2011/2012,75201000,USA,1.179017
2011/2012,75201030,USA,1.183459
2011/2012,75202000,USA,2.29668
2011/2012,75202011,USA,3.217242
2011/2012,75202013,USA,0.873232
2011/2012,75202021,USA,3.14414
2011/2012,75202021,USA,3.151283
2011/2012,75202021,USA,2.299377
2011/2012,75204013,USA,0.422085
2011/2012,75204981,USA,0.872663
2011/2012,75204981,USA,0.923043
2011/2012,75204982,USA,0.41706
2011/2012,75204982,USA,0.416166
2011/2012,75204983,USA,0.310042
2011/2012,75204983,USA,0.349868
2011/2012,75204991,USA,0.891126
2011/2012,75204992,USA,0.418081
2011/2012,75204993,USA,0.206867
2011/2012,75205010,USA,0.372047
2011/2012,75205011,USA,0.872663
2011/2012,75205020,USA,0.371433
2011/2012,75205021,USA,0.891126
2011/2012,75205022,USA,0.418081
2011/2012,75205023,USA,0.306988
2011/2012,75205030,USA,0.372047
2011/2012,75205030,USA,0.420393
2011/2012,75205031,USA,0.872663
2011/2012,75205031,USA,0.372076
2011/2012,75205031,USA,0.923043
2011/2012,75205032,USA,0.41706
2011/2012,75205032,USA,0.487587
2011/2012,75205032,USA,0.416166
2011/2012,75205032,USA,0.462129
2011/2012,75205033,USA,0.310042
2011/2012,75205033,USA,0.309965
2011/2012,75205033,USA,0.317176
2011/2012,75205033,USA,0.349868
2011/2012,75205120,USA,0.313425
2011/2012,75205130,USA,0.315698
2011/2012,75205130,USA,0.31563
2011/2012,75206013,USA,0.435612
2011/2012,75208013,USA,0.330922
2011/2012,75208720,USA,0.982593
2011/2012,75210010,USA,0.384913
2011/2012,75210020,USA,0.385001
2011/2012,75210020,USA,0.385042
2011/2012,75211010,USA,0.480535
2011/2012,75211020,USA,0.483612
2011/2012,75211030,USA,0.480535
2011/2012,75211030,USA,0.48074
2011/2012,75211030,USA,0.521425
2011/2012,75212010,USA,0.632872
2011/2012,75213100,USA,0.337088
2011/2012,75213110,USA,0.335464
2011/2012,75214011,USA,0.618781
2011/2012,75214012,USA,0.396392
2011/2012,75214021,USA,0.610563
2011/2012,75214021,USA,0.613111
2011/2012,75215010,USA,0.512026
2011/2012,75216000,USA,0.338516
2011/2012,75216010,USA,0.337071
2011/2012,75216100,USA,0.338516
2011/2012,75216101,USA,0.937566
2011/2012,75216103,USA,0.312266
2011/2012,75216110,USA,0.337071
2011/2012,75216111,USA,0.953553
2011/2012,75216112,USA,0.373033
2011/2012,75216113,USA,0.296022
2011/2012,75216120,USA,0.338516
2011/2012,75216121,USA,0.937566
2011/2012,75216121,USA,0.345159
2011/2012,75216122,USA,0.373461
2011/2012,75216122,USA,0.380118
2011/2012,75216123,USA,0.312266
2011/2012,75216123,USA,0.318936
2011/2012,75216150,USA,0.193925
2011/2012,75216153,USA,0.193506
2011/2012,75216171,USA,0.953467
2011/2012,75216173,USA,0.410169
2011/2012,75216211,USA,0.953376
2011/2012,75216250,USA,0.298557
2011/2012,75216310,USA,0.314556
2011/2012,75217000,USA,1.432338
2011/2012,75217010,USA,1.48403
2011/2012,75217020,USA,1.432338
2011/2012,75217020,USA,1.43507
2011/2012,75217400,USA,0.795403
2011/2012,75217500,USA,0.228766
2011/2012,75219011,USA,1.126964
2011/2012,75219012,USA,1.040279
2011/2012,75219020,USA,1.020928
2011/2012,75219021,USA,1.164062
2011/2012,75219021,USA,1.165351
2011/2012,75220050,USA,0.510063
2011/2012,75220100,USA,0.45665
2011/2012,75221000,USA,0.261081
2011/2012,75221010,USA,0.258189
2011/2012,75221011,USA,0.252141
2011/2012,75221020,USA,0.261081
2011/2012,75221021,USA,0.255167
2011/2012,75221021,USA,0.255045
2011/2012,75221030,USA,0.258225
2011/2012,75221160,USA,1.164878
2011/2012,75223011,USA,0.316938
2011/2012,75223013,USA,0.316873
2011/2012,75223020,USA,0.318881
2011/2012,75223021,USA,0.318881
2011/2012,75223022,USA,0.308846
2011/2012,75223023,USA,0.318881
2011/2012,75224010,USA,0.359357
2011/2012,75224021,USA,0.81067
2011/2012,75224022,USA,0.394823
2011/2012,75224023,USA,0.311272
2011/2012,75224033,USA,0.313383
2011/2012,75224120,USA,0.210781
2011/2012,75225013,USA,0.350584
2011/2012,75226000,USA,0.765562
2011/2012,75226010,USA,0.778745
2011/2012,75226020,USA,0.765562
2011/2012,75226020,USA,0.766307
2011/2012,75226050,USA,0.490789
2011/2012,75226060,USA,0.487334
2011/2012,75226060,USA,0.487571
2011/2012,75226100,USA,0.62805
2011/2012,75226101,USA,0.929764
2011/2012,75226103,USA,0.62805
2011/2012,75226110,USA,0.843035
2011/2012,75227110,USA,NA
2011/2012,75228010,USA,0.459227
2011/2012,75230000,USA,0.271202
2011/2012,75230010,USA,0.271202
2011/2012,75232000,USA,29.610967
2011/2012,75232050,USA,2.70055
2011/2012,75232120,USA,3.686369
2011/2012,75233011,USA,0.618993
2011/2012,75233012,USA,0.534744
2011/2012,75233013,USA,0.511681
2011/2012,75233021,USA,0.613028
2011/2012,75233021,USA,0.613384
2011/2012,75235000,USA,0.391173
2011/2012,75301110,USA,0.410391
2011/2012,75302050,USA,0.264388
2011/2012,75302080,USA,0.367345
2011/2012,75302510,USA,0.268494
2011/2012,75302510,USA,0.268358
2011/2012,75302510,USA,0.312006
2011/2012,75307000,USA,0.460903
2011/2012,75307000,USA,0.461041
2011/2012,75307000,USA,0.496481
2011/2012,75311000,USA,0.346005
2011/2012,75311012,USA,0.344899
2011/2012,75311013,USA,0.331428
2011/2012,75311020,USA,0.346005
2011/2012,75311020,USA,0.345989
2011/2012,75311022,USA,0.345998
2011/2012,75311022,USA,0.352014
2011/2012,75311022,USA,0.345989
2011/2012,75311110,USA,0.375972
2011/2012,75315020,USA,0.348839
2011/2012,75315020,USA,0.348826
2011/2012,75316000,USA,0.478044
2011/2012,75316010,USA,0.431472
2011/2012,75317010,USA,0.521809
2011/2012,75317010,USA,0.522088
2011/2012,75317010,USA,0.56792
2011/2012,75317010,USA,0.527261
2011/2012,75317020,USA,0.525327
2011/2012,75330100,USA,0.4449
2011/2012,75330110,USA,0.4449
2011/2012,75330120,USA,0.4449
2011/2012,75330120,USA,0.560912
2011/2012,75330140,USA,0.323173
2011/2012,75330150,USA,0.323173
2011/2012,75330150,USA,0.578637
2011/2012,75340010,USA,0.574141
2011/2012,75340160,USA,0.720467
2011/2012,75365000,USA,2.135657
2011/2012,75403020,USA,0.400602
2011/2012,75403020,USA,0.400602
2011/2012,75409012,USA,0.545329
2011/2012,75410500,USA,NA
2011/2012,75410530,USA,0.746408
2011/2012,75410550,USA,1.228777
2011/2012,75411010,USA,0.323025
2011/2012,75411020,USA,0.568081
2011/2012,75412010,USA,NA
2011/2012,75412030,USA,1.183072
2011/2012,75414020,USA,NA
2011/2012,75414030,USA,0.919584
2011/2012,75414030,USA,0.473783
2011/2012,75414500,USA,0.394731
2011/2012,75414500,USA,0.647908
2011/2012,75414500,USA,0.649987
2011/2012,75415020,USA,1.179591
2011/2012,75416600,USA,0.514059
2011/2012,75418010,USA,0.944538
2011/2012,75439500,USA,0.349552
2011/2012,75440100,USA,0.389063
2011/2012,75440110,USA,0.568044
2011/2012,75440170,USA,1.389756
2011/2012,75440300,USA,0.610683
2011/2012,75440500,USA,0.515298
2011/2012,75440600,USA,0.380024
2011/2012,75450500,USA,0.610683
2011/2012,75450510,USA,0.60795
2011/2012,75460700,USA,0.406722
2011/2012,75460900,USA,0.837014
2011/2012,75500110,USA,1.206929
2011/2012,75500210,USA,0.344156
2011/2012,75502520,USA,1.074218
2011/2012,75503010,USA,0.309758
2011/2012,75503020,USA,0.455516
2011/2012,75503030,USA,0.383537
2011/2012,75503040,USA,0.422449
2011/2012,75503090,USA,4.116224
2011/2012,75503100,USA,NA
2011/2012,75505000,USA,1.002633
2011/2012,75506010,USA,0.447278
2011/2012,75506100,USA,0.788756
2011/2012,75510000,USA,0.938427
2011/2012,75510010,USA,0.828145
2011/2012,75510020,USA,0.854621
2011/2012,75510030,USA,1.029166
2011/2012,75511010,USA,0.715481
2011/2012,75511020,USA,0.620248
2011/2012,75511040,USA,0.675846
2011/2012,75511100,USA,0.729569
2011/2012,75515100,USA,0.462254
2011/2012,75534030,USA,0.469144
2011/2012,75535000,USA,0.47116
2011/2012,75600150,USA,0.181366
2011/2012,75601000,USA,0.276694
2011/2012,75601100,USA,0.26161
2011/2012,75601200,USA,0.309211
2011/2012,75603010,USA,0.25729
2011/2012,75604600,USA,0.971153
2011/2012,75607000,USA,0.561889
2011/2012,75607060,USA,0.273204
2011/2012,75608100,USA,0.30388
2011/2012,75647000,USA,NA
2011/2012,75649010,USA,0.320838
2011/2012,75649050,USA,0.042153
2011/2012,75649110,USA,0.319
2011/2012,75649150,USA,0.279203
2011/2012,75651010,USA,0.224278
2011/2012,75651020,USA,0.214735
2011/2012,75651040,USA,0.226498
2011/2012,75651070,USA,0.313737
2011/2012,75651150,USA,0.202022
2011/2012,75652010,USA,0.33005
2011/2012,75652040,USA,0.329414
2011/2012,75654010,USA,0.226498
2011/2012,75656020,USA,0.346162
2011/2012,75656060,USA,0.333457
2011/2012,75657000,USA,0.311054
2011/2012,76102010,USA,1.055208
2011/2012,76201000,USA,0.776845
2011/2012,76201010,USA,0.548858
2011/2012,76201020,USA,0.350098
2011/2012,76202000,USA,0.478209
2011/2012,76205000,USA,0.78757
2011/2012,76205010,USA,1.062456
2011/2012,76205020,USA,0.416585
2011/2012,76205060,USA,0.509981
2011/2012,76209000,USA,1.040529
2011/2012,76209010,USA,0.564532
2011/2012,76209020,USA,0.441091
2011/2012,76401000,USA,0.447561
2011/2012,76401010,USA,0.545926
2011/2012,76402000,USA,1.157246
2011/2012,76407000,USA,0.531778
2011/2012,76407010,USA,0.465077
2011/2012,76407020,USA,0.334353
2011/2012,76409000,USA,1.282799
2011/2012,76409010,USA,0.541175
2011/2012,76420000,USA,NA
2011/2012,76501000,USA,0.576976
2011/2012,76502000,USA,0.855772
2011/2012,76603010,USA,0.62558
2011/2012,76603020,USA,0.430042
2011/2012,76605010,USA,0.513402
2011/2012,76605020,USA,1.448344
2011/2012,76607100,USA,1.35999
2011/2012,76611010,USA,0.828566
2011/2012,76611020,USA,0.44418
2011/2012,77121010,USA,0.291042
2011/2012,78101000,USA,0.228189
2011/2012,81100500,USA,2.485916
2011/2012,81101000,USA,0.592623
2011/2012,81101010,USA,0.992057
2011/2012,81101500,USA,0.865293
2011/2012,81102000,USA,0.350509
2011/2012,81102010,USA,NA
2011/2012,81102020,USA,0.349149
2011/2012,81103040,USA,0.310257
2011/2012,81103041,USA,0.676625
2011/2012,81103080,USA,0.349149
2011/2012,81103090,USA,1.070119
2011/2012,81103140,USA,1.201028
2011/2012,81104010,USA,0.349149
2011/2012,81104011,USA,0.646015
2011/2012,81104020,USA,0.60684
2011/2012,81104050,USA,0.802631
2011/2012,81104100,USA,0.733574
2011/2012,81104560,USA,8.814088
2011/2012,81105020,USA,1.19118
2011/2012,81105500,USA,1.027136
2011/2012,81106010,USA,2.948522
2011/2012,81201000,USA,0.832157
2011/2012,81204000,USA,NA
2011/2012,81301000,USA,0.461386
2011/2012,81301020,USA,0.640246
2011/2012,81302010,USA,0.839829
2011/2012,81302040,USA,0.607729
2011/2012,81302050,USA,0.708816
2011/2012,81302060,USA,0.915783
2011/2012,81302070,USA,0.911484
2011/2012,81330210,USA,2.777438
2011/2012,82101000,USA,0.389904
2011/2012,82101500,USA,1.276039
2011/2012,82102000,USA,0.278976
2011/2012,82103500,USA,4.581195
2011/2012,82104000,USA,0.924177
2011/2012,82105000,USA,0.402735
2011/2012,82105500,USA,0.249386
2011/2012,82107000,USA,2.15235
2011/2012,83100100,USA,0.540541
2011/2012,83100200,USA,0.424815
2011/2012,83101000,USA,0.586765
2011/2012,83102000,USA,0.605679
2011/2012,83103000,USA,0.686452
2011/2012,83104000,USA,0.445506
2011/2012,83105500,USA,0.476034
2011/2012,83106000,USA,0.55532
2011/2012,83107000,USA,0.417054
2011/2012,83108000,USA,0.417054
2011/2012,83109000,USA,0.524684
2011/2012,83110000,USA,0.421627
2011/2012,83112000,USA,0.453792
2011/2012,83112500,USA,0.525891
2011/2012,83112950,USA,0.743767
2011/2012,83112990,USA,0.814097
2011/2012,83114000,USA,0.458966
2011/2012,83115000,USA,0.947433
2011/2012,83200100,USA,0.544583
2011/2012,83201000,USA,0.650311
2011/2012,83202020,USA,0.438828
2011/2012,83203000,USA,0.522265
2011/2012,83204000,USA,0.463324
2011/2012,83204030,USA,0.446751
2011/2012,83204050,USA,0.42515
2011/2012,83204500,USA,0.538632
2011/2012,83205450,USA,0.581544
2011/2012,83206500,USA,0.539684
2011/2012,83207000,USA,0.444076
2011/2012,83210100,USA,0.4952
2011/2012,83300100,USA,0.392215
2011/2012,83300200,USA,0.577951
2011/2012,83300300,USA,0.454562
2011/2012,83300400,USA,0.415323
2011/2012,83300600,USA,0.512548
2011/2012,83300700,USA,0.453562
2011/2012,83300900,USA,0.972931
2011/2012,83301000,USA,0.415136
2011/2012,91101000,USA,1.082349
2011/2012,91101010,USA,0.127885
2011/2012,91101020,USA,0.203449
2011/2012,91102010,USA,0.207054
2011/2012,91104100,USA,2.782634
2011/2012,91104200,USA,0.407526
2011/2012,91107000,USA,2.360765
2011/2012,91108000,USA,2.28176
2011/2012,91108010,USA,11.171679
2011/2012,91109000,USA,0.882313
2011/2012,91200000,USA,2.26178
2011/2012,91200020,USA,1.332344
2011/2012,91200040,USA,1.273474
2011/2012,91200110,USA,0.773254
2011/2012,91201010,USA,2.405979
2011/2012,91300010,USA,0.755493
2011/2012,91300100,USA,0.28659
2011/2012,91301020,USA,0.28659
2011/2012,91301030,USA,0.296335
2011/2012,91301040,USA,0.244049
2011/2012,91301050,USA,0.478297
2011/2012,91301060,USA,1.328596
2011/2012,91301080,USA,0.335879
2011/2012,91301082,USA,0.643847
2011/2012,91301090,USA,0.375443
2011/2012,91301100,USA,0.81509
2011/2012,91301130,USA,0.239107
2011/2012,91301200,USA,0.408917
2011/2012,91301250,USA,0.28659
2011/2012,91301510,USA,0.405688
2011/2012,91302010,USA,0.873749
2011/2012,91303000,USA,0.595819
2011/2012,91304010,USA,0.528999
2011/2012,91304020,USA,0.704791
2011/2012,91304030,USA,1.880603
2011/2012,91304040,USA,0.595627
2011/2012,91304090,USA,0.853711
2011/2012,91304300,USA,0.908771
2011/2012,91305010,USA,0.397063
2011/2012,91305020,USA,0.444481
2011/2012,91351010,USA,0.76663
2011/2012,91361010,USA,0.62232
2011/2012,91361020,USA,NA
2011/2012,91361050,USA,0.477154
2011/2012,91361070,USA,1.189306
2011/2012,91401000,USA,0.426232
2011/2012,91402000,USA,0.408463
2011/2012,91403000,USA,0.525092
2011/2012,91404000,USA,0.620882
2011/2012,91405000,USA,0.754913
2011/2012,91405500,USA,0.408463
2011/2012,91406000,USA,0.754913
2011/2012,91406500,USA,0.864423
2011/2012,91406600,USA,0.754913
2011/2012,91407100,USA,0.38339
2011/2012,91407150,USA,NA
2011/2012,91500200,USA,0.807966
2011/2012,91501010,USA,0.400454
2011/2012,91501020,USA,0.184601
2011/2012,91511010,USA,0.136931
2011/2012,91511020,USA,0.380771
2011/2012,91601000,USA,0.302383
2011/2012,91611000,USA,0.176322
2011/2012,91611100,USA,0.377951
2011/2012,91621000,USA,0.302383
2011/2012,91700010,USA,0.894611
2011/2012,91701010,USA,1.598318
2011/2012,91703010,USA,0.53657
2011/2012,91703020,USA,0.800481
2011/2012,91703030,USA,0.737585
2011/2012,91703040,USA,1.358882
2011/2012,91703060,USA,1.282082
2011/2012,91703150,USA,1.622953
2011/2012,91703200,USA,1.045085
2011/2012,91705010,USA,0.973577
2011/2012,91705020,USA,0.828507
2011/2012,91705030,USA,1.107775
2011/2012,91705040,USA,2.384315
2011/2012,91705050,USA,1.579971
2011/2012,91705060,USA,1.128857
2011/2012,91705070,USA,1.238587
2011/2012,91705200,USA,0.691033
2011/2012,91705300,USA,1.735735
2011/2012,91705310,USA,1.601203
2011/2012,91705400,USA,0.996678
2011/2012,91705420,USA,0.898973
2011/2012,91706000,USA,1.045277
2011/2012,91706100,USA,1.157821
2011/2012,91707000,USA,0.549627
2011/2012,91707010,USA,1.203453
2011/2012,91708030,USA,0.840102
2011/2012,91708070,USA,0.830106
2011/2012,91708100,USA,0.840102
2011/2012,91709000,USA,1.061658
2011/2012,91713030,USA,NA
2011/2012,91715100,USA,1.022442
2011/2012,91715200,USA,0.896869
2011/2012,91718000,USA,0.834267
2011/2012,91718100,USA,0.922048
2011/2012,91718200,USA,0.960886
2011/2012,91721000,USA,NA
2011/2012,91723000,USA,0.514307
2011/2012,91723010,USA,1.19541
2011/2012,91723050,USA,0.582033
2011/2012,91726000,USA,0.633374
2011/2012,91726110,USA,1.196494
2011/2012,91726130,USA,0.950394
2011/2012,91726410,USA,1.038942
2011/2012,91726420,USA,1.079708
2011/2012,91727010,USA,1.625962
2011/2012,91728000,USA,1.098157
2011/2012,91728500,USA,2.868613
2011/2012,91731000,USA,0.977894
2011/2012,91731010,USA,0.804219
2011/2012,91731100,USA,0.669227
2011/2012,91732100,USA,1.188399
2011/2012,91733000,USA,0.797947
2011/2012,91734000,USA,1.157668
2011/2012,91734100,USA,1.12065
2011/2012,91734200,USA,0.929176
2011/2012,91735000,USA,1.321741
2011/2012,91739010,USA,0.885171
2011/2012,91739600,USA,1.349259
2011/2012,91745010,USA,0.579327
2011/2012,91745020,USA,0.893898
2011/2012,91745040,USA,0.774693
2011/2012,91745100,USA,0.788192
2011/2012,91746010,USA,1.179639
2011/2012,91746100,USA,0.846
2011/2012,91750000,USA,0.763156
2011/2012,91760000,USA,0.96839
2011/2012,91760100,USA,1.093333
2011/2012,91760200,USA,1.254262
2011/2012,91760500,USA,2.021753
2011/2012,91770030,USA,1.921643
2011/2012,91800100,USA,2.234224
2011/2012,91801000,USA,1.320003
2011/2012,92100000,USA,0.035118
2011/2012,92100500,USA,0.035118
2011/2012,92101000,USA,0.046321
2011/2012,92101500,USA,0.054577
2011/2012,92101610,USA,0.042214
2011/2012,92101630,USA,0.07138
2011/2012,92101700,USA,0.046321
2011/2012,92101800,USA,0.057744
2011/2012,92101900,USA,NA
2011/2012,92101900,USA,0.084187
2011/2012,92101900,USA,0.084128
2011/2012,92101900,USA,0.089604
2011/2012,92101910,USA,0.084578
2011/2012,92101910,USA,0.086997
2011/2012,92101910,USA,0.082357
2011/2012,92101910,USA,0.082305
2011/2012,92101920,USA,0.460705
2011/2012,92101920,USA,0.069551
2011/2012,92101920,USA,0.069631
2011/2012,92101925,USA,0.460705
2011/2012,92101950,USA,0.124871
2011/2012,92101950,USA,0.122475
2011/2012,92101950,USA,0.122528
2011/2012,92101950,USA,0.127365
2011/2012,92101950,USA,0.23818
2011/2012,92103000,USA,0.035118
2011/2012,92111000,USA,0.062839
2011/2012,92111010,USA,0.062839
2011/2012,92114000,USA,0.062839
2011/2012,92121000,USA,0.202772
2011/2012,92121010,USA,0.062839
2011/2012,92121040,USA,0.202772
2011/2012,92130000,USA,0.036439
2011/2012,92152000,USA,0.03722
2011/2012,92161000,USA,NA
2011/2012,92191100,USA,2.464322
2011/2012,92191200,USA,3.049146
2011/2012,92192000,USA,2.70695
2011/2012,92193000,USA,0.269849
2011/2012,92205000,USA,0.20142
2011/2012,92301000,USA,13.35026
2011/2012,92301060,USA,0.120101
2011/2012,92301080,USA,0.102547
2011/2012,92301130,USA,0.117468
2011/2012,92301180,USA,0.102547
2011/2012,92301190,USA,0.095441
2011/2012,92302000,USA,0.041415
2011/2012,92302200,USA,0.120101
2011/2012,92302300,USA,0.102547
2011/2012,92302400,USA,0.093546
2011/2012,92302500,USA,0.058788
2011/2012,92302600,USA,0.120101
2011/2012,92302700,USA,0.102547
2011/2012,92305000,USA,0.120101
2011/2012,92305010,USA,0.011542
2011/2012,92305040,USA,0.008914
2011/2012,92305090,USA,0.102547
2011/2012,92305110,USA,0.000858
2011/2012,92305180,USA,0.011542
2011/2012,92306000,USA,0.134541
2011/2012,92306020,USA,0.13425
2011/2012,92306030,USA,0.144093
2011/2012,92306090,USA,0.071354
2011/2012,92307500,USA,0.09804
2011/2012,92307510,USA,0.10157
2011/2012,92400000,USA,0.082514
2011/2012,92400100,USA,0.063481
2011/2012,92410110,USA,0.110516
2011/2012,92410210,USA,0.109339
2011/2012,92410250,USA,0.106759
2011/2012,92410310,USA,0.082003
2011/2012,92410320,USA,0.082991
2011/2012,92410340,USA,0.077043
2011/2012,92410350,USA,0.077925
2011/2012,92410360,USA,0.083472
2011/2012,92410370,USA,0.083409
2011/2012,92410390,USA,0.082453
2011/2012,92410400,USA,0.083782
2011/2012,92410410,USA,0.086752
2011/2012,92410420,USA,0.079544
2011/2012,92410510,USA,0.078726
2011/2012,92410520,USA,0.079254
2011/2012,92410550,USA,0.083583
2011/2012,92410560,USA,0.083889
2011/2012,92410610,USA,0.082884
2011/2012,92410620,USA,0.071613
2011/2012,92410710,USA,0.08216
2011/2012,92410720,USA,0.07879
2011/2012,92411510,USA,0.082545
2011/2012,92411610,USA,0.08318
2011/2012,92431000,USA,0.25697
2011/2012,92432000,USA,0.201198
2011/2012,92433000,USA,0.263997
2011/2012,92510610,USA,0.113623
2011/2012,92511010,USA,0.090993
2011/2012,92512090,USA,0.209121
2011/2012,92512110,USA,0.342717
2011/2012,92513000,USA,0.262763
2011/2012,92530410,USA,0.047058
2011/2012,92530510,USA,0.125961
2011/2012,92530610,USA,0.105304
2011/2012,92530950,USA,0.114754
2011/2012,92531030,USA,0.082799
2011/2012,92541010,USA,0.034751
2011/2012,92542000,USA,0.047058
2011/2012,92550030,USA,0.13254
2011/2012,92550040,USA,0.332491
2011/2012,92550110,USA,0.136474
2011/2012,92550350,USA,0.160806
2011/2012,92550405,USA,0.217181
2011/2012,92550620,USA,4.640226
2011/2012,92552010,USA,0.006393
2011/2012,92552020,USA,0.082799
2011/2012,92552030,USA,0.120777
2011/2012,92582110,USA,0.082799
2011/2012,92611010,USA,0.01814
2011/2012,92611100,USA,0.064614
2011/2012,92611510,USA,0.025572
2011/2012,92611510,USA,0.107935
2011/2012,92611510,USA,0.101606
2011/2012,92611600,USA,0.04623
2011/2012,92611600,USA,0.121654
2011/2012,92611600,USA,0.115822
2011/2012,92611600,USA,0.115781
2011/2012,92613510,USA,0.127371
2011/2012,92803000,USA,0.388552
2011/2012,92804000,USA,0.184592
2011/2012,92900110,USA,0.60092
2011/2012,92900200,USA,1.440804
2011/2012,94100100,USA,0.033458
2011/2012,94100200,USA,0.128811
2011/2012,94100300,USA,0.128811
2011/2012,94210100,USA,0.10547
2011/2012,94210200,USA,0.148915
2011/2012,94210300,USA,0.169321
2011/2012,94220200,USA,0.160397
2011/2012,94300100,USA,0.033458
2011/2012,95101000,USA,0.563737
2011/2012,95103000,USA,0.58037
2011/2012,95103010,USA,0.695886
2011/2012,95104000,USA,0.634852
2011/2012,95105000,USA,0.43916
2011/2012,95106000,USA,0.521478
2011/2012,95106010,USA,0.42292
2011/2012,95110000,USA,0.362818
2011/2012,95120000,USA,0.417189
2011/2012,95120010,USA,0.401314
2011/2012,95120020,USA,0.568543
2011/2012,95201000,USA,1.301665
2011/2012,95201500,USA,2.685307
2011/2012,95202000,USA,2.405958
2011/2012,95210000,USA,2.38396
2011/2012,95220000,USA,1.319555
2011/2012,95220010,USA,2.685307
2011/2012,95230000,USA,1.930461
2011/2012,95230030,USA,1.930461
2011/2012,95310200,USA,0.260718
2011/2012,95310400,USA,0.319758
2011/2012,95310500,USA,NA
2011/2012,95310560,USA,0.292106
2011/2012,95310600,USA,0.639115
2011/2012,95310700,USA,0.300564
2011/2012,95310750,USA,0.180674
2011/2012,95310800,USA,0.063116
2011/2012,95311000,USA,0.517079
2011/2012,95312400,USA,0.307812
2011/2012,95312550,USA,NA
2011/2012,95312600,USA,0.467784
2011/2012,95312700,USA,0.293729
2011/2012,95320200,USA,0.110306
2011/2012,95320500,USA,0.083766
2011/2012,95321000,USA,0.578237
2011/2012,95322200,USA,0.109222
2011/2012,95323000,USA,NA
2011/2012,95330100,USA,0.43895
2011/2012,95342000,USA,0.826457
2013/2014,11100000,USA,0.103359
2013/2014,11111000,USA,0.103324
2013/2014,11112110,USA,0.096808
2013/2014,11112120,USA,0.094636
2013/2014,11112130,USA,0.12505
2013/2014,11112210,USA,0.096239
2013/2014,11113000,USA,0.100411
2013/2014,11114300,USA,0.208765
2013/2014,11114320,USA,0.201389
2013/2014,11114330,USA,0.203092
2013/2014,11114350,USA,0.19466
2013/2014,11115000,USA,0.182097
2013/2014,11115100,USA,0.176807
2013/2014,11115200,USA,0.223813
2013/2014,11115300,USA,0.17888
2013/2014,11115400,USA,0.364304
2013/2014,11116000,USA,0.449785
2013/2014,11121210,USA,0.023014
2013/2014,11210050,USA,0.321404
2013/2014,11211050,USA,0.339513
2013/2014,11211400,USA,0.347218
2013/2014,11212050,USA,0.308198
2013/2014,11220000,USA,0.377752
2013/2014,11320000,USA,0.167645
2013/2014,11320100,USA,0.141548
2013/2014,11320200,USA,0.141548
2013/2014,11321000,USA,0.175986
2013/2014,11321100,USA,0.15447
2013/2014,11340000,USA,0.238322
2013/2014,11350000,USA,0.164079
2013/2014,11350010,USA,0.173851
2013/2014,11350020,USA,0.126435
2013/2014,11350030,USA,0.269655
2013/2014,11360000,USA,0.206005
2013/2014,11370000,USA,0.255208
2013/2014,11410000,USA,0.631404
2013/2014,11411010,USA,0.400651
2013/2014,11411100,USA,0.403024
2013/2014,11411200,USA,0.328589
2013/2014,11411300,USA,0.391334
2013/2014,11411400,USA,0.578977
2013/2014,11411410,USA,0.662225
2013/2014,11411420,USA,0.649053
2013/2014,11420000,USA,0.315435
2013/2014,11421000,USA,0.593841
2013/2014,11422000,USA,0.417361
2013/2014,11422100,USA,0.412796
2013/2014,11423000,USA,0.364774
2013/2014,11424000,USA,0.355148
2013/2014,11424500,USA,0.926773
2013/2014,11424510,USA,0.605372
2013/2014,11424520,USA,0.626479
2013/2014,11425000,USA,0.431413
2013/2014,11426000,USA,0.685784
2013/2014,11427000,USA,0.340385
2013/2014,11428000,USA,0.671438
2013/2014,11430000,USA,0.377339
2013/2014,11431000,USA,0.838436
2013/2014,11432000,USA,0.392335
2013/2014,11432500,USA,0.362843
2013/2014,11433000,USA,0.361552
2013/2014,11433500,USA,0.34138
2013/2014,11434000,USA,0.709781
2013/2014,11434010,USA,0.695757
2013/2014,11434020,USA,0.659086
2013/2014,11446000,USA,0.800912
2013/2014,11459990,USA,0.335298
2013/2014,11460000,USA,0.362569
2013/2014,11460100,USA,0.303208
2013/2014,11460150,USA,0.335298
2013/2014,11460160,USA,0.296941
2013/2014,11460170,USA,0.335298
2013/2014,11460200,USA,0.356554
2013/2014,11460250,USA,0.925602
2013/2014,11460300,USA,0.341149
2013/2014,11460410,USA,0.341149
2013/2014,11460420,USA,0.335145
2013/2014,11460430,USA,0.29539
2013/2014,11460440,USA,0.335145
